,Id,name,serving_size,carbohydrate,sugars,fructose,galactose,glucose,lactose,maltose,sucrose
3955,3955,"Cranberry sauce, OCEAN SPRAY, canned, jellied",100 g,40.61 g,32.20 g,9.80 g,0.00 g,17.80 g,0.00 g,4.50 g,0.10 g
1509,1509,"Cranberry sauce, sweetened, canned",100 g,40.40 g,31.75 g,9.75 g,0.00 g,17.45 g,0.00 g,4.45 g,0.10 g
2913,2913,"Cranberry sauce, OCEAN SPRAY, canned, whole",100 g,40.40 g,31.30 g,9.70 g,0.00 g,17.10 g,0.00 g,4.40 g,0.10 g
759,759,"McDONALD'S, Hot Mustard Sauce",100 g,29.08 g,21.76 g,9.57 g,0.00 g,11.20 g,0.00 g,0.29 g,0.70 g
522,522,"Jackfruit, raw",100 g,23.25 g,19.08 g,9.19 g,0.00 g,9.48 g,0.00 g,0.00 g,0.42 g
3427,3427,"Snacks, fruit, NUTRI-GRAIN Cereal Bars, KELLOGG'S",100 g,67.61 g,28.98 g,9.19 g,0.00 g,12.43 g,1.08 g,2.18 g,4.10 g
3691,3691,"Blueberries, drained, heavy syrup, canned, wild",100 g,28.32 g,19.28 g,9.02 g,0.00 g,10.13 g,0.00 g,0.12 g,0.01 g
5881,5881,"Pickles, sweet (includes bread and butter pickles), cucumber",100 g,21.15 g,18.27 g,8.81 g,0.00 g,9.17 g,0.00 g,0.29 g,0.00 g
282,282,"Catsup, low sodium",100 g,27.40 g,21.27 g,8.72 g,0.00 g,10.25 g,0.00 g,0.00 g,2.30 g
669,669,Catsup,100 g,27.40 g,21.27 g,8.72 g,0.00 g,10.25 g,0.00 g,0.00 g,2.30 g
3250,3250,"Blueberries, drained, light syrup, canned",100 g,22.66 g,17.45 g,8.43 g,0.00 g,8.62 g,0.00 g,0.00 g,0.41 g
3778,3778,"Sauce, CHA! BY TEXAS PETE, sriracha, hot chile",100 g,22.73 g,15.65 g,8.28 g,0.00 g,7.36 g,0.00 g,0.00 g,0.00 g
4835,4835,"Cereals ready-to-eat, CINNAMON TOAST CRUNCH, GENERAL MILLS",100 g,77.99 g,30.30 g,8.20 g,0.00 g,1.59 g,0.00 g,0.00 g,20.52 g
2030,2030,"Nance, drained, syrup, canned",100 g,22.79 g,15.66 g,8.18 g,0.00 g,7.41 g,0.00 g,0.00 g,0.07 g
1006,1006,"Sauce, sriracha, hot chile",100 g,19.16 g,15.11 g,8.16 g,0.00 g,6.67 g,0.00 g,0.00 g,0.27 g
6350,6350,"Grapes, raw, red or green (European type, such as Thompson seedless)",100 g,18.10 g,15.48 g,8.13 g,0.00 g,7.20 g,0.00 g,0.00 g,0.15 g
5698,5698,"Cereals, dry, with raisins and spice, fortified, instant, oats",100 g,76.33 g,37.14 g,7.78 g,0.10 g,7.65 g,0.10 g,0.10 g,21.41 g
5209,5209,"Cereals, dry, Raisin and Spice, Instant Oatmeal, QUAKER",100 g,75.68 g,35.65 g,7.70 g,0.10 g,7.60 g,0.10 g,0.10 g,20.05 g
306,306,"Sapote, raw, mamey",100 g,32.10 g,20.14 g,7.66 g,0.00 g,8.01 g,0.00 g,0.38 g,4.09 g
5071,5071,"Orange juice, undiluted, unsweetened, frozen concentrate",100 g,35.19 g,29.68 g,7.55 g,0.00 g,6.58 g,0.00 g,0.00 g,15.55 g
