,Id,name,serving_size,protein,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,tryptophan,valine
3089,3089,"Whale, dried (Alaska Native), meat, beluga",100 g,69.86 g,2.999 g,2.684 g,5.778 g,6.313 g,1.353 g,2.947 g,2.726 g,0.797 g,2.810 g
4401,4401,"Seal, dried (Alaska Native), meat, bearded (Oogruk)",100 g,82.60 g,2.947 g,3.134 g,6.386 g,6.690 g,1.684 g,3.275 g,3.228 g,0.795 g,3.228 g
213,213,Soy protein isolate,100 g,88.32 g,2.303 g,4.253 g,6.783 g,5.327 g,1.130 g,4.593 g,3.137 g,1.116 g,4.098 g
1378,1378,"Soy protein isolate, potassium type",100 g,88.32 g,2.303 g,4.253 g,6.783 g,5.327 g,1.130 g,4.593 g,3.137 g,1.116 g,4.098 g
5806,5806,"Seal, partially dried (Alaska Native), meat, bearded (Oogruk)",100 g,62.38 g,2.226 g,2.367 g,4.822 g,5.052 g,1.272 g,2.473 g,2.438 g,0.601 g,2.438 g
3893,3893,"Egg, glucose reduced, stabilized, dried, white",100 g,84.08 g,2.050 g,4.411 g,7.358 g,5.901 g,2.991 g,5.129 g,3.629 g,1.427 g,5.725 g
5357,5357,"Egg, glucose reduced, stabilized, powder, dried, white",100 g,82.40 g,1.872 g,5.023 g,7.172 g,5.076 g,3.204 g,5.181 g,3.665 g,1.266 g,6.170 g
2370,2370,"Fish, dried and salted, Atlantic, cod",100 g,62.82 g,1.849 g,2.895 g,5.106 g,5.769 g,1.859 g,2.452 g,2.754 g,0.704 g,3.236 g
389,389,"Egg, dried, white",100 g,81.10 g,1.830 g,4.581 g,6.838 g,5.515 g,2.790 g,4.736 g,3.685 g,0.999 g,5.164 g
5356,5356,"Egg, glucose reduced, stabilized, flakes, dried, white",100 g,76.92 g,1.748 g,4.689 g,6.695 g,4.738 g,2.991 g,4.837 g,3.421 g,1.181 g,5.760 g
1016,1016,"Cheese, shredded, parmesan",100 g,37.86 g,1.609 g,2.202 g,4.013 g,3.843 g,1.114 g,2.234 g,1.531 g,0.560 g,2.853 g
2215,2215,"Pork, microwaved, cooked, bacon, cured",100 g,39.01 g,1.587 g,1.847 g,3.211 g,3.470 g,1.069 g,1.621 g,1.716 g,0.464 g,1.973 g
3874,3874,"Soy protein concentrate, produced by acid wash",100 g,63.63 g,1.578 g,2.942 g,4.917 g,3.929 g,0.814 g,3.278 g,2.474 g,0.835 g,3.064 g
5150,5150,"Soy protein concentrate, produced by alcohol extraction",100 g,63.63 g,1.578 g,2.942 g,4.917 g,3.929 g,0.814 g,3.278 g,2.474 g,0.835 g,3.064 g
2853,2853,"Seeds, low fat (glandless), cottonseed flour",100 g,49.83 g,1.570 g,1.796 g,3.404 g,2.529 g,0.809 g,3.103 g,1.843 g,0.752 g,2.557 g
5387,5387,"Seeds, partially defatted (glandless), cottonseed meal",100 g,49.10 g,1.547 g,1.769 g,3.354 g,2.492 g,0.797 g,3.057 g,1.816 g,0.741 g,2.520 g
2602,2602,"Beverages, Protein powder soy based",100 g,55.56 g,1.511 g,2.762 g,4.602 g,3.551 g,0.722 g,2.958 g,2.169 g,0.722 g,2.827 g
1770,1770,"Game meat, roasted, cooked, deer",100 g,30.21 g,1.494 g,1.194 g,2.566 g,2.639 g,0.745 g,1.233 g,1.421 g,0,1.412 g
883,883,"Seeds, low-fat, sesame flour",100 g,50.14 g,1.476 g,2.157 g,3.841 g,1.608 g,1.656 g,2.658 g,2.081 g,1.097 g,2.800 g
2257,2257,"Game meat, roasted, cooked, wild, boar",100 g,28.30 g,1.435 g,1.367 g,2.300 g,2.789 g,0.697 g,1.132 g,1.331 g,0.380 g,1.517 g
