,Id,name,serving_size,fiber
1930,1930,"Snacks, cheese-flavor, popcorn",100 g,9.9 g
2467,2467,"Bananas, or banana powder, dehydrated",100 g,9.9 g
1257,1257,"Nuts, blanched, almonds",100 g,9.9 g
186,186,"Grape leaves, canned",100 g,9.9 g
3556,3556,"Cereals, dry, Whole Wheat Natural Cereal, QUAKER",100 g,9.9 g
5274,5274,"Cereals ready-to-eat, KELLOGG'S KRAVE chocolate cereal",100 g,9.9 g
6402,6402,"Cereals ready-to-eat, Natural Granola Apple Cranberry Almond, QUAKER",100 g,9.9 g
4161,4161,"Incaparina, unprepared, dry mix (corn and soy flours)",100 g,9.9 g
6490,6490,"Nuts, packaged, flaked, sweetened, dried (desiccated), coconut meat",100 g,9.9 g
5186,5186,"KELLOGG'S, Sour Cream & Onion, Cracker Chips, SPECIAL K",100 g,9.8 g
3019,3019,"KELLOGG'S, Savory Herb Crackers, SPECIAL K",100 g,9.8 g
3018,3018,"Hazelnuts, beaked (Northern Plains Indians)",100 g,9.8 g
3515,3515,"Cereals ready-to-eat, KELLOGG SCOOBY-DOO! cereal",100 g,9.8 g
4729,4729,"Cereals, Regular, Instant Oatmeal Organic, QUAKER",100 g,9.8 g
4308,4308,"PEPPERIDGE FARM, Whole Grain Honey Whole Wheat Bread",100 g,9.8 g
77,77,"Figs, uncooked, dried",100 g,9.8 g
3139,3139,"PEPPERIDGE FARM, Whole Grain Oatmeal Bread",100 g,9.8 g
3948,3948,"Tortillas, whole wheat, ready-to-bake or -fry",100 g,9.8 g
806,806,"Kanpyo, (dried gourd strips)",100 g,9.8 g
6137,6137,"Cereals ready-to-eat, presweetened with nuts and fruits, wheat and bran",100 g,9.7 g
